project_id,path,path_with_namespace,web_url,last_activity_at,namespace_kind,namespace_full_path,archived,visibility,slack_id,title,slug,created_at,updated_at,active,commit_events,push_events,issues_events,alert_events,confidential_issues_events,merge_requests_events,tag_push_events,deployment_events,note_events,confidential_note_events,pipeline_events,wiki_page_events,job_events,comment_on_event_enabled,vulnerability_events
769,vio-acl,viriciti/serverless/vio-acl,https://git.viriciti.com/viriciti/serverless/vio-acl,2019-09-17T07:47:41.680Z,group,viriciti/serverless,FALSE,private,3839,Slack notifications,slack,2019-09-17T07:47:42.086Z,2019-09-17T07:47:42.086Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
768,akita,viriciti/serverless/akita,https://git.viriciti.com/viriciti/serverless/akita,2019-09-17T07:47:07.960Z,group,viriciti/serverless,FALSE,private,3838,Slack notifications,slack,2019-09-17T07:47:08.118Z,2019-09-17T07:47:08.118Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
767,report,viriciti/serverless/report,https://git.viriciti.com/viriciti/serverless/report,2020-04-20T08:55:25.982Z,group,viriciti/serverless,TRUE,private,3837,Slack notifications,slack,2019-09-17T07:46:32.855Z,2019-09-17T07:46:32.855Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
766,sd-mc,viriciti/serverless/sd-mc,https://git.viriciti.com/viriciti/serverless/sd-mc,2020-03-30T12:47:04.774Z,group,viriciti/serverless,TRUE,internal,3836,Slack notifications,slack,2019-09-17T07:43:04.142Z,2019-09-17T07:43:04.142Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
765,asana-querier,viriciti/tools/asana-querier,https://git.viriciti.com/viriciti/tools/asana-querier,2021-08-26T10:26:11.154Z,group,viriciti/tools,FALSE,private,3833,Slack notifications,slack,2019-09-16T12:58:42.609Z,2019-09-16T12:58:42.609Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
759,stupid-perf-test,mongodb-manager/stupid-perf-test,https://git.viriciti.com/mongodb-manager/stupid-perf-test,2019-09-12T08:24:37.478Z,group,mongodb-manager,FALSE,internal,3826,Slack notifications,slack,2019-09-12T08:24:37.656Z,2019-09-12T08:24:37.656Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
758,app-layer-agent,viriciti/datahub/app-layer-agent,https://git.viriciti.com/viriciti/datahub/app-layer-agent,2022-06-14T12:23:34.541Z,group,viriciti/datahub,FALSE,private,3825,Slack notifications,slack,2019-09-11T12:22:15.109Z,2019-09-11T12:22:15.109Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
757,pm-test,viriciti/pm-test,https://git.viriciti.com/viriciti/pm-test,2019-11-27T15:25:58.115Z,group,viriciti,FALSE,internal,3824,Slack notifications,slack,2019-09-11T08:54:27.029Z,2019-09-11T08:54:27.029Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
756,smser,viriciti/core/smser,https://git.viriciti.com/viriciti/core/smser,2023-01-10T12:26:18.970Z,group,viriciti/core,FALSE,private,3822,Slack notifications,slack,2019-09-09T16:26:07.756Z,2019-09-09T16:26:07.756Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
755,emailer,viriciti/core/emailer,https://git.viriciti.com/viriciti/core/emailer,2024-01-19T12:38:32.963Z,group,viriciti/core,FALSE,private,3821,Slack notifications,slack,2019-09-09T16:08:50.422Z,2019-09-09T16:08:50.422Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
754,broker,viriciti/incidents/broker,https://git.viriciti.com/viriciti/incidents/broker,2022-12-02T10:02:57.024Z,group,viriciti/incidents,FALSE,private,3820,Slack notifications,slack,2019-09-09T14:43:19.566Z,2019-09-09T14:43:19.566Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
753,move-gitlab-project,viriciti/tools/move-gitlab-project,https://git.viriciti.com/viriciti/tools/move-gitlab-project,2019-09-12T13:51:51.231Z,group,viriciti/tools,FALSE,internal,3819,Slack notifications,slack,2019-09-09T14:07:45.153Z,2019-09-09T14:07:45.153Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
743,smartcharging,viriciti/cs/front-end/smartcharging,https://git.viriciti.com/viriciti/cs/front-end/smartcharging,2023-09-06T07:16:51.657Z,group,viriciti/cs/front-end,FALSE,private,3782,Slack notifications,slack,2019-09-05T13:52:57.093Z,2019-09-05T13:52:57.093Z,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
